item_code,item_description,MOQ,brand
BCD 160 SET 11-7035,BCD 160 SET 11-7035,,phoenix mecano
PH 01.050503 ALU ENCL,PH 01.050503 ALU ENCL,,phoenix mecano
PH 01.060603,PH 01.060603,,phoenix mecano
PH 01.061003 AL ENCL,PH 01.061003 AL ENCL,,phoenix mecano
PH 01.061503,PH 01.061503,,phoenix mecano
PH 01.061903 AL ENCL 60x190x30 MM,PH 01.061903 AL ENCL 60x190x30 MM,,phoenix mecano
PH 01.080806 AL ENCL,PH 01.080806 AL ENCL,,phoenix mecano
PH 01.081306 AL ENCL,PH 01.081306 AL ENCL,,phoenix mecano
PH 01.081306 M/C 7000586,PH 01.081306 M/C 7000586,,phoenix mecano
PH 01.081806 AL ENCL,PH 01.081806 AL ENCL,,phoenix mecano
PH 01 101008 AL ENCL,PH 01 101008 AL ENCL,,phoenix mecano
PH 01.101008  T155,PH 01.101008  T155,,phoenix mecano
PH 01.10160830 M3168,PH 01.10160830 M3168,,phoenix mecano
PH 01.101608 AL ENCL,PH 01.101608 AL ENCL,,phoenix mecano
PH 01.121208 ALU. ENCL,PH 01.121208 ALU. ENCL,,phoenix mecano
PH 01.122208 AL. ENCL,PH 01.122208 AL. ENCL,,phoenix mecano
PH 01 122209 AL ENCL,PH 01 122209 AL ENCL,,phoenix mecano
PH 01.141409 ALU. ENCL,PH 01.141409 ALU. ENCL,,phoenix mecano
PH 01.142009 AL ENCL(T159),PH 01.142009 AL ENCL(T159),,phoenix mecano
PH 01 161609 AL ENCL,PH 01 161609 AL ENCL,,phoenix mecano
PH 01.161609 EMC GASKET,PH 01.161609 EMC GASKET,,phoenix mecano
PH 01.16260630 WITH EMC GASKET,PH 01.16260630 WITH EMC GASKET,,phoenix mecano
PH 01.162609 AL ENCL,PH 01.162609 AL ENCL,,phoenix mecano
PH 01.162609 EMC GASKET,PH 01.162609 EMC GASKET,,phoenix mecano
Ph 01.162609  RAL 7001 (T57),Ph 01.162609  RAL 7001 (T57),,phoenix mecano
PH 01.163609 ALU. ENCL,PH 01.163609 ALU. ENCL,,phoenix mecano
PH 01.181810 AL ENCL,PH 01.181810 AL ENCL,,phoenix mecano
PH 01.182810 ALU ENCL,PH 01.182810 ALU ENCL,,phoenix mecano
PH 01.23201130M.3152(WITH MACH.),PH 01.23201130M.3152(WITH MACH.),,phoenix mecano
PH 01. 232011 AL ENCL,PH 01. 232011 AL ENCL,,phoenix mecano
PH 01.232011M3772 MACHINED,PH 01.232011M3772 MACHINED,,phoenix mecano
PH 01.232011M3949 MACHINED,PH 01.232011M3949 MACHINED,,phoenix mecano
PH 01.232811,PH 01.232811,,phoenix mecano
PH 01.233311 AL ENCL,PH 01.233311 AL ENCL,,phoenix mecano
PH 01 233318 AL. ENCL,PH 01 233318 AL. ENCL,,phoenix mecano
PH 01.234011 AL ENCL 7035,PH 01.234011 AL ENCL 7035,,phoenix mecano
PH  01.234011 ALU ENCL RAL 7001,PH  01.234011 ALU ENCL RAL 7001,,phoenix mecano
PH 01.314011 AL ENCL,PH 01.314011 AL ENCL,,phoenix mecano
PH 01.314011 M3492 MACH,PH 01.314011 M3492 MACH,,phoenix mecano
PH 01 316018 AL ENCL,PH 01 316018 AL ENCL,,phoenix mecano
PH 02.080806 R POLYESTER ENCL,PH 02.080806 R POLYESTER ENCL,,phoenix mecano
PH 02.080808 POLYESTER,PH 02.080808 POLYESTER,,phoenix mecano
PH 02.081106 POLYESTER,PH 02.081106 POLYESTER,,phoenix mecano
PH 02.081108 POLYESTER,PH 02.081108 POLYESTER,,phoenix mecano
PH 02.081608 POLYESTER ENCL,PH 02.081608 POLYESTER ENCL,,phoenix mecano
PH 02.121209 ISC GRP ENCLOSURE,PH 02.121209 ISC GRP ENCLOSURE,,phoenix mecano
PH 02 121209 P.Y. ENCL,PH 02 121209 P.Y. ENCL,,phoenix mecano
PH 02.122209 BLACK,PH 02.122209 BLACK,,phoenix mecano
PH 02.122209M5518(POLY) W.MACH,PH 02.122209M5518(POLY) W.MACH,,phoenix mecano
PH 02-122209 M70001943 RALL 7000,PH 02-122209 M70001943 RALL 7000,,phoenix mecano
PH 02.122209 POLYESTER ENCL,PH 02.122209 POLYESTER ENCL,,phoenix mecano
PH 02.161609 POLYESTER ENCL,PH 02.161609 POLYESTER ENCL,,phoenix mecano
PH 02.162609,PH 02.162609,,phoenix mecano
PH 02. 252612 POLY ENCL,PH 02. 252612 POLY ENCL,,phoenix mecano
PH 02.252616 POLY ENCL,PH 02.252616 POLY ENCL,,phoenix mecano
PH 02.254016 FRP ENCLOSURE,PH 02.254016 FRP ENCLOSURE,,phoenix mecano
PH 02.414012,PH 02.414012,,phoenix mecano
PH 02.414020 POLY ENCL,PH 02.414020 POLY ENCL,,phoenix mecano
PH 026.121209 EX-POLY ENCL,PH 026.121209 EX-POLY ENCL,,phoenix mecano
PH 03.080809 (M225) EUROMAS,PH 03.080809 (M225) EUROMAS,,phoenix mecano
PH 03.081206,PH 03.081206,,phoenix mecano
PH 03.081609,PH 03.081609,,phoenix mecano
PH 03.122008 PC,PH 03.122008 PC,,phoenix mecano
PH 04.162408 (T178) ENCL,PH 04.162408 (T178) ENCL,,phoenix mecano
PH 04.282811 ALUFORM ENCL,PH 04.282811 ALUFORM ENCL,,phoenix mecano
PH 09.050704 ABS,PH 09.050704 ABS,,phoenix mecano
PH 09.080806 ABS ENCL T-210,PH 09.080806 ABS ENCL T-210,,phoenix mecano
PH 09.080809 T225,PH 09.080809 T225,,phoenix mecano
PH 09081206 ABS ENCL T216,PH 09081206 ABS ENCL T216,,phoenix mecano
PH 09.081206 (T),PH 09.081206 (T),,phoenix mecano
PH 09081209 ABS ENCL T-226,PH 09081209 ABS ENCL T-226,,phoenix mecano
PH 09.081209 T,PH 09.081209 T,,phoenix mecano
PH 09 121609 ABS,PH 09 121609 ABS,,phoenix mecano
PH 09122008 ABS ENCL T-221(B03221000),PH 09122008 ABS ENCL T-221(B03221000),,phoenix mecano
PH 09.122008 (T),PH 09.122008 (T),,phoenix mecano
PH 09122009 ABS ENCL T237,PH 09122009 ABS ENCL T237,,phoenix mecano
PH 09.122009 T  (B09122009T),PH 09.122009 T  (B09122009T),,phoenix mecano
PH 09.233009  ABS T253,PH 09.233009  ABS T253,,phoenix mecano
PH 09.233009 T,PH 09.233009 T,,phoenix mecano
PH 09.233011 T,PH 09.233011 T,,phoenix mecano
PH 09. 233011 -T254 ABS,PH 09. 233011 -T254 ABS,,phoenix mecano
PH 09.282813 ABS EUROMAS-1,PH 09.282813 ABS EUROMAS-1,,phoenix mecano
PH 26.122209 EX-POLYESTER,PH 26.122209 EX-POLYESTER,,phoenix mecano
PH 26.162609 EX Enclosure GRP,PH 26.162609 EX Enclosure GRP,,phoenix mecano
PH 34803000 BOS 80 BK,PH 34803000 BOS 80 BK,,phoenix mecano
PH 49471002 ALUM PROIFLE 1MTR(OPEN),PH 49471002 ALUM PROIFLE 1MTR(OPEN),,phoenix mecano
PH 49471003 ALUM. PROFILE (OPEN),PH 49471003 ALUM. PROFILE (OPEN),,phoenix mecano
PH 49471099 ALUMI PROFILE OPEN,PH 49471099 ALUMI PROFILE OPEN,,phoenix mecano
PH 49472002 ALUM.PROF STD .(CLOSED)49472099-1000,PH 49472002 ALUM.PROF STD .(CLOSED)49472099-1000,,phoenix mecano
PH 49472099-350 GTN II CLOSED PROFILE NOS(R49472002,PH 49472099-350 GTN II CLOSED PROFILE NOS(R49472002,,phoenix mecano
PH 494767000 INTERMEDIATE JOINT,PH 494767000 INTERMEDIATE JOINT,,phoenix mecano
PH 49477000 WALL HINGE GTN II,PH 49477000 WALL HINGE GTN II,,phoenix mecano
PH 49477001 WALL HINGE GTN II,PH 49477001 WALL HINGE GTN II,,phoenix mecano
PH 49477200 FOOT STAND FIXED,PH 49477200 FOOT STAND FIXED,,phoenix mecano
PH 49477220 TURNABLE FOOT STAND,PH 49477220 TURNABLE FOOT STAND,,phoenix mecano
PH 49477221 TURNABLE FOOT STAND,PH 49477221 TURNABLE FOOT STAND,,phoenix mecano
"PH 49477300 GTN II, COUPLING","PH 49477300 GTN II, COUPLING",,phoenix mecano
PH AB 02009 EXT KIT,PH AB 02009 EXT KIT,,phoenix mecano
PH AB 02009L  B56020010,PH AB 02009L  B56020010,,phoenix mecano
PH AB 02609 (56026000),PH AB 02609 (56026000),,phoenix mecano
PH AB 02609L,PH AB 02609L,,phoenix mecano
PH AB 2003 EXT KIT,PH AB 2003 EXT KIT,,phoenix mecano
PH ABD 1600  (84161000),PH ABD 1600  (84161000),,phoenix mecano
PH ABD 800 LID,PH ABD 800 LID,,phoenix mecano
PH ABD 800 LID (B2116808M3081),PH ABD 800 LID (B2116808M3081),,phoenix mecano
PH ABD UNPAINTED (84081000),PH ABD UNPAINTED (84081000),,phoenix mecano
PH ABP 800-0200,PH ABP 800-0200,,phoenix mecano
PH ABPH 1040-0100,PH ABPH 1040-0100,,phoenix mecano
PH AB PH 800-0100 (84086100),PH AB PH 800-0100 (84086100),,phoenix mecano
PH AB PH 800-0200 (8406200),PH AB PH 800-0200 (8406200),,phoenix mecano
PH ABPU1680-0200 (B84687200),PH ABPU1680-0200 (B84687200),,phoenix mecano
PH AK 700/3 5.0 H GREEN,PH AK 700/3 5.0 H GREEN,,phoenix mecano
PH AKZ 1100/8  5.08 GREEN,PH AKZ 1100/8  5.08 GREEN,,phoenix mecano
PH AKZ 1700/9 3.81 GREEN,PH AKZ 1700/9 3.81 GREEN,,phoenix mecano
PH AKZ 950/8 5.08 GREEN,PH AKZ 950/8 5.08 GREEN,,phoenix mecano
PH ALUTRON END CAP,PH ALUTRON END CAP,,phoenix mecano
PH ALUTRON LID ASSL IN BK(BH2119310),PH ALUTRON LID ASSL IN BK(BH2119310),,phoenix mecano
PH ALUTRON LID (B8136610),PH ALUTRON LID (B8136610),,phoenix mecano
PH ALUTRON PROFILE BK(B2135014),PH ALUTRON PROFILE BK(B2135014),,phoenix mecano
PH ANGLE FLANGE COUPLING(49497800),PH ANGLE FLANGE COUPLING(49497800),,phoenix mecano
PH ANGLE GT 48/2( 49497100),PH ANGLE GT 48/2( 49497100),,phoenix mecano
PH ART-335-BTU-1,PH ART-335-BTU-1,,phoenix mecano
PH ART -335-BTU-2,PH ART -335-BTU-2,,phoenix mecano
PH ART -335-DIS (341335512),PH ART -335-DIS (341335512),,phoenix mecano
PH ART-335-KO-5015(B),PH ART-335-KO-5015(B),,phoenix mecano
PH  ART-335-KU-5015(S),PH  ART-335-KU-5015(S),,phoenix mecano
PH ART 555 DIS,PH ART 555 DIS,,phoenix mecano
PH ART 555 DIS WITH BE 30 (34155582),PH ART 555 DIS WITH BE 30 (34155582),,phoenix mecano
PH ART 555 KO-5015,PH ART 555 KO-5015,,phoenix mecano
PH ART 555-KO-6027,PH ART 555-KO-6027,,phoenix mecano
PH ART 555 KU-5015,PH ART 555 KU-5015,,phoenix mecano
PH ART 555 KU-6027,PH ART 555 KU-6027,,phoenix mecano
PH ART 865 F (34186511),PH ART 865 F (34186511),,phoenix mecano
PH ART 865 K0-7037 34186524,PH ART 865 K0-7037 34186524,,phoenix mecano
PH ART 865 KO-5015,PH ART 865 KO-5015,,phoenix mecano
PH ART 865 KO-7038 34186521,PH ART 865 KO-7038 34186521,,phoenix mecano
PH ART 865 KU-5015,PH ART 865 KU-5015,,phoenix mecano
PH ART 865 KU-7037 34186534,PH ART 865 KU-7037 34186534,,phoenix mecano
PH ART 865-KU-7038 34186531,PH ART 865-KU-7038 34186531,,phoenix mecano
PH ARTEB 115 F (34111511),PH ARTEB 115 F (34111511),,phoenix mecano
PH ARTEB 115 KO-6027,PH ARTEB 115 KO-6027,,phoenix mecano
PH ARTEB 225 F (34122511),PH ARTEB 225 F (34122511),,phoenix mecano
PH ARTEB 225 KO-6027  (34122522),PH ARTEB 225 KO-6027  (34122522),,phoenix mecano
PH ARTEB 335 F,PH ARTEB 335 F,,phoenix mecano
PH ARTEB 335 KO-7037,PH ARTEB 335 KO-7037,,phoenix mecano
PH ARTEB 335 KU-7037,PH ARTEB 335 KU-7037,,phoenix mecano
PH ARTEB 555 DIS,PH ARTEB 555 DIS,,phoenix mecano
PH ARTEB-555-KO-3000,PH ARTEB-555-KO-3000,,phoenix mecano
PH ARTEB 555 KO-7037 (B34155524),PH ARTEB 555 KO-7037 (B34155524),,phoenix mecano
PH ARTEB-555-KU-3000,PH ARTEB-555-KU-3000,,phoenix mecano
PH ARTEB 555 KU-7037,PH ARTEB 555 KU-7037,,phoenix mecano
PH ARTEB-865-KO-1016,PH ARTEB-865-KO-1016,,phoenix mecano
PH ARTEB -KU-1016,PH ARTEB -KU-1016,,phoenix mecano
PH ATD 1850-7024  (B92050024),PH ATD 1850-7024  (B92050024),,phoenix mecano
PH ATD 1850-7039 (B92050039),PH ATD 1850-7039 (B92050039),,phoenix mecano
PH ATD 1865-7024 (B92065024),PH ATD 1865-7024 (B92065024),,phoenix mecano
PH ATD 1865-7039 (B92065039),PH ATD 1865-7039 (B92065039),,phoenix mecano
PH ATPH 1850-250 (B92850250),PH ATPH 1850-250 (B92850250),,phoenix mecano
PH  ATPH 1850-250V-M3523,PH  ATPH 1850-250V-M3523,,phoenix mecano
PH ATPH 1850 (B92850300),PH ATPH 1850 (B92850300),,phoenix mecano
PH ATPH 1865 V 250 (B92865250),PH ATPH 1865 V 250 (B92865250),,phoenix mecano
PH BA241306F BOCUBE 259X128X60MM,PH BA241306F BOCUBE 259X128X60MM,,phoenix mecano
PH BATTERY HOLDER (27020086,PH BATTERY HOLDER (27020086,,phoenix mecano
PH BCD 200 FO 7024 (B20201124),PH BCD 200 FO 7024 (B20201124),,phoenix mecano
PH BCD-200 OT F 7024,PH BCD-200 OT F 7024,,phoenix mecano
PH BCD-200 UT 7035,PH BCD-200 UT 7035,,phoenix mecano
PH BCD 250-UT-7035  (B20250135),PH BCD 250-UT-7035  (B20250135),,phoenix mecano
PH BELUGA .180,PH BELUGA .180,,phoenix mecano
PH BF 11 GLAND,PH BF 11 GLAND,,phoenix mecano
PH BF 7 GLAND,PH BF 7 GLAND,,phoenix mecano
PH BF 9 GLAND,PH BF 9 GLAND,,phoenix mecano
PH BFK 09 GLAND,PH BFK 09 GLAND,,phoenix mecano
PH BL 7 (5201000),PH BL 7 (5201000),,phoenix mecano
PH BO 32006 BOTEGO-6,PH BO 32006 BOTEGO-6,,phoenix mecano
PH BO 32009,PH BO 32009,,phoenix mecano
PH BO 51406 BOTEGO,PH BO 51406 BOTEGO,,phoenix mecano
PH BO 51412,PH BO 51412,,phoenix mecano
PH BO 52006 BOTEGO,PH BO 52006 BOTEGO,,phoenix mecano
PH BO 52009,PH BO 52009,,phoenix mecano
PH BO 52012,PH BO 52012,,phoenix mecano
PH BO 62609 BOTEGO-9TE,PH BO 62609 BOTEGO-9TE,,phoenix mecano
PH BO 62612,PH BO 62612,,phoenix mecano
PH BO AB 02009-7035,PH BO AB 02009-7035,,phoenix mecano
PH BO AB 02609-7035 68260910,PH BO AB 02609-7035 68260910,,phoenix mecano
PH BO AB 02609 L-7035,PH BO AB 02609 L-7035,,phoenix mecano
PH BO AB 2009 L-7035,PH BO AB 2009 L-7035,,phoenix mecano
PH BO AB 2609L,PH BO AB 2609L,,phoenix mecano
PH BO HS 60000  ( 68460000),PH BO HS 60000  ( 68460000),,phoenix mecano
PH BO-KS-1-5014  B68014000,PH BO-KS-1-5014  B68014000,,phoenix mecano
PH BO-KS-2-5002,PH BO-KS-2-5002,,phoenix mecano
PH BO KS-2-5014,PH BO KS-2-5014,,phoenix mecano
PH BO KS-2  6027,PH BO KS-2  6027,,phoenix mecano
PH BO-KS 3-10788 (68036000),PH BO-KS 3-10788 (68036000),,phoenix mecano
PH BO-KS3-5014,PH BO-KS3-5014,,phoenix mecano
PH BO KS-3-6027,PH BO KS-3-6027,,phoenix mecano
PH BOS 400 ASC with CLIP 34400500,PH BOS 400 ASC with CLIP 34400500,,phoenix mecano
PH BOS 401,PH BOS 401,,phoenix mecano
PH BOS 500 BLACK,PH BOS 500 BLACK,,phoenix mecano
PH BOS 501,PH BOS 501,,phoenix mecano
PH BOS 501 (B34501000),PH BOS 501 (B34501000),,phoenix mecano
PH BOS 502 ENCL,PH BOS 502 ENCL,,phoenix mecano
PH BOS 705,PH BOS 705,,phoenix mecano
PH BOS 751,PH BOS 751,,phoenix mecano
PH BOS 753,PH BOS 753,,phoenix mecano
PH BOS 755,PH BOS 755,,phoenix mecano
PH BOS 757,PH BOS 757,,phoenix mecano
PH BOS 759  (34759000),PH BOS 759  (34759000),,phoenix mecano
PH BOS 800 ENCL BLACK,PH BOS 800 ENCL BLACK,,phoenix mecano
PH BOS 801,PH BOS 801,,phoenix mecano
PH BOS 803 ENCL,PH BOS 803 ENCL,,phoenix mecano
PH BOS 808 ENCL,PH BOS 808 ENCL,,phoenix mecano
PH BOS 902 BLACK,PH BOS 902 BLACK,,phoenix mecano
